city,state,reason
cdcr,,literal code
ice-ero,,literal code
287g,,literal code
see i-213,,literal code
fci,,facility code
do travis mcclure,,office code
suffolk hoc,massachusetts,county jail
stoughton dc,massachusetts,detention center
wrentham dc,massachusetts,detention center
roxbury dc,massachusetts,detention center
jbmdl,,military base
joint base mdl,new jersey,military base
jb andrews,,military base
jblm,,military base
jber,,military base
jbsa lackland,,military base
terminal island,california,federal prison
represa,california,folsom prison postal name
krome ave,florida,krome detention center
marthas vineyard,massachusetts,spans multiple municipalities
martha's vineyard,massachusetts,spans multiple municipalities
chestnut hill,massachusetts,spans multiple municipalities
